State/UT,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh, 9.1 , 11.6 , 10.1 , 10.0 , 10.4 , 9.5 , 8.0 , 8.9 , 8.0 , 6.8 , 6.5 , 6.5 , 7.2 , 8.6 , 7.3 , 7.1 , 7.3 , 7.4 , 6.7 , 6.8 , 6.7 , 6.0 , 5.6 , 6.5 , 5.9 , 5.9 , 5.9 , 6.1 , 5.7 , 5.8 , 5.6 , 5.5 , 5.4 , 5.0 , 5.9 , 5.8 , 5.7 , 5.7 , 5.5 , 5.4 , 5.2 , 5.1 , 5.0 , 5.0 , 5.0 , 4.9 
Arunachal Pradesh,,,,,,,,,,,, 2.6 , 1.5 , 4.8 , 2.2 , 4.6 , 2.6 , 5.0 , 4.7 , 4.4 , 3.5 , 2.0 , 1.8 , 2.3 , 1.9 , 1.0 , 2.0 , 1.8 , 1.9 , 2.5 , 2.3 , 2.6 , 2.5 , 3.1 , 2.8 , 2.8 , 3.3 , 3.0 , 2.5 , 2.3 , 2.5 , 2.7 , 2.7 , 2.6 , 3.7 , 4.5 
Assam, 9.5 , 10.0 , 9.8 , 9.5 , 9.6 , 9.7 , 7.6 , 8.0 , 6.6 , 6.9 , 8.0 , 7.8 , 7.2 , 9.3 , 8.4 , 7.9 , 8.1 , 7.9 , 7.6 , 7.6 , 6.9 , 7.4 , 6.7 , 7.2 , 6.7 , 5.8 , 5.9 , 6.0 , 6.2 , 6.1 , 6.6 , 6.0 , 5.9 , 5.5 , 5.6 , 5.8 , 5.7 , 5.6 , 5.9 , 5.8 , 5.6 , 5.6 , 5.6 , 5.3 , 5.1 , 4.9 
Bihar,,,,,,,,,,, 8.0 , 7.2 , 7.4 , 9.7 , 9.0 , 8.8 , 8.0 , 8.1 , 7.9 , 6.2 , 6.3 , 6.9 , 5.0 , 7.5 , 6.9 , 6.9 , 6.8 , 6.5 , 7.1 , 7.1 , 6.3 , 6.1 , 6.0 , 5.7 , 6.6 , 6.3 , 6.2 , 6.0 , 5.8 , 5.6 , 5.5 , 5.5 , 5.5 , 5.2 , 5.1 , 5.5 
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7.0 , 7.1 , 7.0 , 7.2 , 7.1 , 6.0 , 6.9 , 6.3 , 6.5 , 6.4 , 6.4 , 6.2 , 6.1 , 5.9 , 5.9 , 5.8 , 5.6 , 6.2 
Delhi, 7.2 , 7.5 , 7.1 , 6.8 , 7.3 , 7.3 , 8.0 , 7.7 , 6.8 , 6.4 , 6.8 , 7.5 , 7.0 , 8.2 , 7.9 , 7.2 , 7.4 , 7.6 , 6.5 , 6.0 , 6.2 , 6.4 , 4.1 , 7.0 , 6.1 , 5.7 , 5.4 , 5.3 , 4.9 , 5.1 , 5.0 , 5.1 , 4.9 , 4.6 , 4.5 , 4.6 , 4.7 , 4.7 , 4.3 , 4.1 , 4.3 , 4.2 , 4.1 , 3.8 , 3.5 , 4.0 
Goa, 5.9 , 5.8 , 5.8 , 6.6 , 6.7 , 5.9 , 7.5 , 7.6 , 5.9 , 5.6 , 4.3 , 6.0 , 6.3 , 6.3 , 6.0 , 6.9 , 5.4 , 6.8 , 7.3 , 5.5 , 6.4 , 6.2 , 5.0 , 7.1 , 6.1 , 6.2 , 7.2 , 7.9 , 6.6 , 6.7 , 6.7 , 7.2 , 7.0 , 6.5 , 5.8 , 6.9 , 6.4 , 5.7 , 5.8 , 5.7 , 5.9 , 5.8 , 5.8 , 5.6 , 5.5 , 6.1 
Gujarat, 13.0 , 11.0 , 12.2 , 10.4 , 12.2 , 11.0 , 11.8 , 9.4 , 10.8 , 10.0 , 10.7 , 8.3 , 9.0 , 8.2 , 8.7 , 8.6 , 7.6 , 9.2 , 8.9 , 7.2 , 7.9 , 8.3 , 6.8 , 6.9 , 6.2 , 6.2 , 6.2 , 6.4 , 5.9 , 5.8 , 5.6 , 6.4 , 6.3 , 5.5 , 5.8 , 5.9 , 5.8 , 5.4 , 5.6 , 5.5 , 5.7 , 5.6 , 5.5 , 5.7 , 5.6 , 5.5 
Haryana, 7.3 , 8.8 , 8.7 , 8.4 , 8.3 , 7.8 , 7.7 , 8.9 , 8.7 , 7.2 , 7.6 , 5.7 , 6.5 , 7.9 , 7.1 , 6.6 , 6.9 , 7.6 , 6.6 , 6.9 , 6.8 , 7.0 , 5.6 , 7.7 , 6.8 , 6.9 , 6.9 , 6.9 , 6.4 , 6.2 , 7.4 , 6.4 , 6.2 , 5.6 , 5.8 , 5.6 , 5.7 , 5.9 , 5.7 , 5.6 , 5.3 , 5.4 , 5.3 , 5.4 , 5.7 , 5.1 
Himachal Pradesh, 7.3 , 6.1 , 7.2 , 7.2 , 7.4 , 6.8 , 5.4 , 6.8 , 5.6 , 6.1 , 5.1 , 4.5 , 6.3 , 6.3 , 6.5 , 7.2 , 5.3 , 5.0 , 6.1 , 7.0 , 5.2 , 4.6 , 5.5 , 5.7 , 6.1 , 6.0 , 5.9 , 5.4 , 5.2 , 5.5 , 5.3 , 5.1 , 4.9 , 4.5 , 4.7 , 4.8 , 5.0 , 4.7 , 4.9 , 4.2 , 3.6 , 3.6 , 3.7 , 4.0 , 4.2 , 7.0 
